,rudderangle_p,cnp
1,-3.141592654,-0.103677453
2,-3.106686069,-0.185452228
3,-3.071779484,-0.25709297
4,-3.054326191,-0.290625004
5,-3.036872898,-0.314815096
6,-3.001966313,-0.354922286
7,-2.967059728,-0.385124235
8,-2.932153143,-0.387248278
9,-2.897246558,-0.391577717
10,-2.879793266,-0.407428363
11,-2.862339973,-0.408542078
12,-2.827433388,-0.438024642
13,-2.792526803,-0.485818371
14,-2.757620218,-0.56008346
15,-2.722713633,-0.640729348
16,-2.705260341,-0.668228586
17,-2.687807048,-0.700391807
18,-2.652900463,-0.72563878
19,-2.617993878,-0.732859256
20,-2.530727415,-0.7686876
21,-2.443460953,-0.863335137
22,-2.35619449,-0.922200893
23,-2.268928028,-0.972030922
24,-2.181661565,-1.008285285
25,-2.094395102,-1.087890307
26,-2.00712864,-1.106917163
27,-1.919862177,-1.125372234
28,-1.832595715,-1.138993443
29,-1.745329252,-1.179238135
30,-1.658062789,-1.172542946
31,-1.570796327,-1.219030395
32,-1.483529864,-1.247845046
33,-1.396263402,-1.282966784
34,-1.308996939,-1.306963697
35,-1.221730476,-1.289283529
36,-1.134464014,-1.265618235
37,-1.047197551,-1.260059131
38,-0.959931089,-1.293333083
39,-0.872664626,-1.297493692
40,-0.785398163,-1.292201386
41,-0.698131701,-1.216328995
42,-0.663225116,-1.155397072
43,-0.628318531,-1.098156102
44,-0.610865238,-1.081690379
45,-0.593411946,-1.05682546
46,-0.558505361,-1.012324802
47,-0.523598776,-0.956322675
48,-0.488692191,-0.967490797
49,-0.453785606,-0.891263558
50,-0.436332313,-0.759296934
51,-0.41887902,-0.713407001
52,-0.383972435,-0.670871486
53,-0.34906585,-0.916888754
54,-0.314159265,-0.816247458
55,-0.27925268,-0.715379344
56,-0.261799388,-0.66514012
57,-0.244346095,-0.612666589
58,-0.20943951,-0.510442489
59,-0.174532925,-0.410646035
60,-0.13962634,-0.312551792
61,-0.104719755,-0.217110627
62,-0.087266463,-0.170143931
63,-0.06981317,-0.124529798
64,-0.034906585,-0.033654121
65,0,0.054620975
66,0.034906585,0.146367435
67,0.06981317,0.242792367
68,0.087266463,0.290669758
69,0.104719755,0.339559079
70,0.13962634,0.434696949
71,0.174532925,0.517437392
72,0.20943951,0.578490991
73,0.244346095,0.346691243
74,0.261799388,0.373136662
75,0.27925268,0.367731519
76,0.314159265,0.39850632
77,0.34906585,0.431021079
78,0.383972435,0.466487697
79,0.41887902,0.520119907
80,0.436332313,0.582350321
81,0.453785606,0.613868912
82,0.488692191,0.678781757
83,0.523598776,0.663207614
84,0.558505361,0.697841978
85,0.593411946,0.73794035
86,0.610865238,0.76327012
87,0.628318531,0.763629654
88,0.663225116,0.7844847
89,0.698131701,0.833659064
90,0.785398163,0.902616268
91,0.872664626,0.942042405
92,0.959931089,0.996906795
93,1.047197551,1.039628546
94,1.134464014,1.075053127
95,1.221730476,1.061693766
96,1.308996939,1.028441521
97,1.396263402,1.01131176
98,1.483529864,0.990308136
99,1.570796327,0.976684293
100,1.658062789,0.967729983
101,1.745329252,0.973684933
102,1.832595715,0.911618091
103,1.919862177,0.892713609
104,2.00712864,0.877594992
105,2.094395102,0.822853915
106,2.181661565,0.776664982
107,2.268928028,0.730627966
108,2.35619449,0.66982364
109,2.443460953,0.587346313
110,2.530727415,0.509155905
111,2.617993878,0.40704803
112,2.705260341,0.320136208
113,2.792526803,0.276606207
114,2.879793266,0.208570322
115,2.967059728,0.335159708
116,3.054326191,0.112337776
117,3.141592654,-0.103793547
