,rudderangle_s,cns
1,-3.141592654,0.103793547
2,-3.054326191,-0.112337776
3,-2.967059728,-0.335159708
4,-2.879793266,-0.208570322
5,-2.792526803,-0.276606207
6,-2.705260341,-0.320136208
7,-2.617993878,-0.40704803
8,-2.530727415,-0.509155905
9,-2.443460953,-0.587346313
10,-2.35619449,-0.66982364
11,-2.268928028,-0.730627966
12,-2.181661565,-0.776664982
13,-2.094395102,-0.822853915
14,-2.00712864,-0.877594992
15,-1.919862177,-0.892713609
16,-1.832595715,-0.911618091
17,-1.745329252,-0.973684933
18,-1.658062789,-0.967729983
19,-1.570796327,-0.976684293
20,-1.483529864,-0.990308136
21,-1.396263402,-1.01131176
22,-1.308996939,-1.028441521
23,-1.221730476,-1.061693766
24,-1.134464014,-1.075053127
25,-1.047197551,-1.039628546
26,-0.959931089,-0.996906795
27,-0.872664626,-0.942042405
28,-0.785398163,-0.902616268
29,-0.698131701,-0.833659064
30,-0.663225116,-0.7844847
31,-0.628318531,-0.763629654
32,-0.610865238,-0.76327012
33,-0.593411946,-0.73794035
34,-0.558505361,-0.697841978
35,-0.523598776,-0.663207614
36,-0.488692191,-0.678781757
37,-0.453785606,-0.613868912
38,-0.436332313,-0.582350321
39,-0.41887902,-0.520119907
40,-0.383972435,-0.466487697
41,-0.34906585,-0.431021079
42,-0.314159265,-0.39850632
43,-0.27925268,-0.367731519
44,-0.261799388,-0.373136662
45,-0.244346095,-0.346691243
46,-0.20943951,-0.578490991
47,-0.174532925,-0.517437392
48,-0.13962634,-0.434696949
49,-0.104719755,-0.339559079
50,-0.087266463,-0.290669758
51,-0.06981317,-0.242792367
52,-0.034906585,-0.146367435
53,0,-0.054620975
54,0.034906585,0.033654121
55,0.06981317,0.124529798
56,0.087266463,0.170143931
57,0.104719755,0.217110627
58,0.13962634,0.312551792
59,0.174532925,0.410646035
60,0.20943951,0.510442489
61,0.244346095,0.612666589
62,0.261799388,0.66514012
63,0.27925268,0.715379344
64,0.314159265,0.816247458
65,0.34906585,0.916888754
66,0.383972435,0.670871486
67,0.41887902,0.713407001
68,0.436332313,0.759296934
69,0.453785606,0.891263558
70,0.488692191,0.967490797
71,0.523598776,0.956322675
72,0.558505361,1.012324802
73,0.593411946,1.05682546
74,0.610865238,1.081690379
75,0.628318531,1.098156102
76,0.663225116,1.155397072
77,0.698131701,1.216328995
78,0.785398163,1.292201386
79,0.872664626,1.297493692
80,0.959931089,1.293333083
81,1.047197551,1.260059131
82,1.134464014,1.265618235
83,1.221730476,1.289283529
84,1.308996939,1.306963697
85,1.396263402,1.282966784
86,1.483529864,1.247845046
87,1.570796327,1.219030395
88,1.658062789,1.172542946
89,1.745329252,1.179238135
90,1.832595715,1.138993443
91,1.919862177,1.125372234
92,2.00712864,1.106917163
93,2.094395102,1.087890307
94,2.181661565,1.008285285
95,2.268928028,0.972030922
96,2.35619449,0.922200893
97,2.443460953,0.863335137
98,2.530727415,0.7686876
99,2.617993878,0.732859256
100,2.652900463,0.72563878
101,2.687807048,0.700391807
102,2.705260341,0.668228586
103,2.722713633,0.640729348
104,2.757620218,0.56008346
105,2.792526803,0.485818371
106,2.827433388,0.438024642
107,2.862339973,0.408542078
108,2.879793266,0.407428363
109,2.897246558,0.391577717
110,2.932153143,0.387248278
111,2.967059728,0.385124235
112,3.001966313,0.354922286
113,3.036872898,0.314815096
114,3.054326191,0.290625004
115,3.071779484,0.25709297
116,3.106686069,0.185452228
117,3.141592654,0.103677453
