,x_position,u_velo,y_position,psi_hat,vm_velo,beta,r_angvelo,n_prop,delta_rudder_p,delta_rudder_s,physical_time,delta_rudder_p_deg,delta_rudder_s_deg,X,Y,N,T,FNp,FT1,FNs,FT2,velocity
0,0,0.8,0,0,0,0,0,13.7,-0.885497929,-0.880091559,0,-50.73529412,-50.42553191,-0.22729,0.09281,-0.12356,0.15581,-0.456674473,-0.02468,-0.549076774,-0.00009,0.46052
1,0,0.8,0,0,0,0,0,13.7,-0.716098325,-0.701845167,0,-41.02941176,-40.21276596,-0.21455,0.09947,-0.15436,0.15424,-0.416527267,-0.01913,-0.47133139,0.00238,0.45523
2,0,0.8,0,0,0,0,0,13.7,-0.53899874,-0.531025709,0,-30.88235294,-30.42553191,-0.19819,0.12398,-0.17989,0.15205,-0.339578454,-0.01642,-0.344995141,0.00529,0.45549
3,0,0.8,0,0,0,0,0,13.7,-0.361899154,-0.352779317,0,-20.73529412,-20.21276596,-0.20496,0.19328,-0.27139,0.14884,-0.259284042,-0.01549,-0.21218011,0.00983,0.4584
4,0,0.8,0,0,0,0,0,13.7,-0.184799568,-0.174532925,0,-10.58823529,-10,-0.15152,0.1782,-0.23859,0.14711,-0.165607227,-0.01472,-0.076125688,-0.00167,0.4607
5,0,0.8,0,0,0,0,0,13.7,-0.092399784,-0.085409729,0,-5.294117647,-4.893617021,-0.14023,0.11413,-0.16855,0.15192,-0.108732017,-0.01387,0.001619696,0.00956,0.45471
6,0,0.8,0,0,0,0,0,13.7,-0.061599856,-0.048275064,0,-3.529411765,-2.765957447,-0.13607,0.06312,-0.09104,0.1488,-0.085312814,-0.01411,0.027534823,0.01529,0.45513
7,0,0.8,0,0,0,0,0,13.7,-0.007699982,-0.003713466,0,-0.441176471,-0.212765957,-0.16472,-0.05141,0.04668,0.17068,-0.048511208,-0.01412,0.072886297,0.01392,0.46477
8,0,0.8,0,0,0,0,0,13.7,0.046199892,0.048275064,0,2.647058824,2.765957447,-0.19183,-0.10806,0.13221,0.17035,-0.008364001,-0.01329,0.121477162,0.00383,0.44817
9,0,0.8,0,0,0,0,0,13.7,0.07699982,0.085409729,0,4.411764706,4.893617021,-0.24666,-0.12243,0.14547,0.17521,0.018400803,-0.01445,0.150631681,-0.00424,0.45224
10,0,0.8,0,0,0,0,0,13.7,0.169399604,0.174532925,0,9.705882353,10,-0.25564,-0.07771,0.09273,0.18184,0.092004015,-0.01398,0.225137674,-0.01683,0.45926
11,0,0.8,0,0,0,0,0,13.7,0.34649919,0.352779317,0,19.85294118,20.21276596,-0.27404,0.00743,-0.04971,0.19594,0.229173637,-0.01532,0.319080013,-0.00757,0.46454
12,0,0.8,0,0,0,0,0,13.7,0.523598776,0.531025709,0,30,30.42553191,-0.23392,0.11306,-0.19064,0.15056,0.362997658,-0.02011,0.383867833,0.00004,0.45368
13,0,0.8,0,0,0,0,0,13.7,0.700698361,0.701845167,0,40.14705882,40.21276596,-0.21371,0.13907,-0.20219,0.15253,0.496821679,-0.01698,0.416261743,0.0029,0.45665
14,0,0.8,0,0,0,0,0,13.7,0.877797947,0.880091559,0,50.29411765,50.42553191,-0.20238,0.16771,-0.23021,0.15527,0.56038809,-0.01406,0.416261743,0.00605,0.45592
